,Unnamed: 0,ticker,date,type,market_cap,d1dv,d2dv,d3dv,d1_i,d1_ah,d1_all,d2_i,d2_ah,d3_i,working_capital,1d_all_z,d1_all_z
0,0,PFE,2015-04-13,CS,196955488923.0,1205281680.6787,560445197.5680001,1043860087.2693001,-0.007355,-0.00114,-0.008487,-0.000571,0.010562,-0.005367,-15763000000.0,-1.0563307285709733,-1.5723479368487154
1,1,VRX,2015-05-28,CS,,638845813.1142,332738450.7242,309492616.7592,0.000787,-0.005667,-0.004885,-0.006615,0.003686,-0.00121,466342000.0,-1.0776546618389695,-1.1666657987226368
2,2,BMY,2015-06-22,CS,148849389341.0,291043451.9279,381122768.54219997,274790598.36579996,-0.003714,0.002684,-0.00104,0.001338,-0.000594,-0.007133,1262000000.0,-0.9637104892995938,-0.4131611783169251
3,3,SNY,2015-07-24,CS,134416534473.0,99862740.54100001,49673687.184,53326686.116000004,-0.005941,-0.001307,-0.007241,-0.002618,0.000563,0.008433,,-1.0315432042356,-1.5400662882914442
5,5,MRK,2015-10-02,CS,126650828951.0,1201895490.345,810895779.45,825557116.3068,0.02767,0.018548,0.046731,0.003133,0.003123,-0.03094,,3.061224293865714,3.247718217894406
6,6,GSK,2015-11-04,CS,107177534000.0,190893222.9006,108780504.76799999,222610988.4238,-0.010912,-0.001643,-0.012538,-0.005878,-0.007569,-0.000953,21340000000.0,-0.8499424868486369,-1.315279622370351
7,7,MRK,2015-12-19,CS,130439744855.0,600765437.349,685029121.0212001,377143476.72,-0.005369,0.002699,-0.002685,0.00173,0.005374,0.011455,21340000000.0,-0.013268399019682327,0.04745025851309322
8,8,MRK,2015-12-24,CS,133496137017.0,157745231.48610002,255300219.42569998,352509534.1548,0.001137,-0.001135,0.0,0.000947,0.00246,0.006985,,-0.09602776481212374,0.020556104458295785
9,9,AZN,2015-12-29,CS,106784693831.0,63163451.498399995,111979355.71020001,49230352.8855,0.004079,-0.00058,0.003497,0.001452,-0.006669,-0.009048,21340000000.0,-0.017171722546265786,-0.04485474329398719
10,10,MRK,2016-01-28,CS,124276441651.0,896428170.3468,850599676.8295001,578121355.379,-0.022452,0.012195,-0.01053,0.01747,-0.005526,0.007144,298945000.0,-0.502481818211924,-0.5043993684233434
11,11,OPK,2016-03-29,CS,7542448257.0,64569949.0646,121785019.1789,70887617.7352,-0.008065,-0.097561,-0.104839,-0.009009,0.006061,0.043173,21340000000.0,-2.2513672156214524,-3.092847184828199
12,12,MRK,2016-06-09,CS,158275689398.0,528649480.2198,541919278.2552,349303657.063,-0.005738,-0.006296,-0.011998,-0.000176,-0.01109,-0.001246,466342000.0,-1.8813920179362256,-2.4068558063399674
13,13,VRX,2016-07-19,CS,,582584173.7252,830204452.6248,382598010.8082,0.009434,0.04418,0.054031,-0.000407,-0.003663,0.0,466342000.0,1.3035642100420841,0.5467682865402492
14,14,VRX,2016-07-21,CS,,382598010.8082,547060064.1709,360640051.0646,0.0,-0.011438,-0.011438,-0.057025,0.006573,-0.005224,21340000000.0,-0.24386780529152757,-0.4016438469309205
15,15,MRK,2016-07-23,CS,162815250969.0,468610141.5631,417381046.56200004,460872868.8212,-0.001194,0.002391,0.001194,-0.005792,0.000514,0.003597,21340000000.0,0.8393917036817912,0.3983627804338398
16,16,MRK,2016-08-09,CS,172973903996.0,766200002.3188001,553675492.0008,657129231.2625,-0.005886,-0.006401,-0.012249,0.008858,-0.000479,0.016291,-85300000.0,-0.5613287149493925,-0.7190502874552143
17,17,EBS,2016-08-15,CS,1098466395.0,14312872.6212,17581478.481,26994215.0445,0.014804,0.013129,0.028127,-0.043916,0.000753,0.012039,28824500000.0,1.5048789760889956,1.7319581764193648
18,18,REGN,2016-10-30,CS,38267032094.0,320238613.8825,336973148.04999995,248693891.6164,-0.034126,0.001449,-0.032726,0.002981,0.000289,-0.008625,,-1.7163258805729922,-2.606657411287951
19,19,SNY,2016-10-30,ADRC,97510986159.0,75518366.18,107794556.7525,92585125.7198,-0.003076,0.006686,0.003589,-0.003065,0.023059,-0.004508,2435000000.0,0.0054879473067314805,-0.017975526960226754
20,20,GILD,2016-11-11,CS,95859988751.0,986517895.3696,676922979.9948,651831679.9408,-0.013681,0.008113,-0.005679,-0.003764,0.003648,-0.008828,100818000.0,-0.4299721209806095,-0.4016404020978984
21,21,KERX,2016-11-13,CS,,19426316.4856,11461917.1905,10067230.314,-0.027821,-0.00318,-0.030912,0.022329,-0.0078,-0.048742,102913000.0,-1.0010287271491,-0.8758569429860803
22,22,SPPI,2016-12-11,CS,727966154.0,3323718.9377,3515141.0895999996,2792135.528,0.004525,0.002252,0.006787,-0.006742,-0.004525,-0.020455,242533000.0,-0.12085199812369199,0.10342960735486681
